Readers,Writers,Time(ms)
0,100,153.84
1,99,140.02
2,98,149.74
3,97,135.04
4,96,150.22
5,95,150.14
6,94,150.34
7,93,149.70
8,92,149.02
9,91,146.86
10,90,151.06
11,89,145.68
12,88,151.44
13,87,149.94
14,86,150.00
15,85,149.50
16,84,149.16
17,83,150.04
18,82,150.10
19,81,147.30
20,80,150.22
21,79,137.94
22,78,124.14
23,77,149.32
24,76,149.86
25,75,149.76
26,74,146.20
27,73,148.14
28,72,149.60
29,71,150.28
30,70,149.90
31,69,150.32
32,68,147.72
33,67,151.22
34,66,151.50
35,65,148.02
36,64,129.64
37,63,157.98
38,62,140.94
39,61,133.70
40,60,133.86
41,59,136.42
42,58,136.28
43,57,135.80
44,56,134.94
45,55,134.20
46,54,135.08
47,53,136.76
48,52,138.44
49,51,142.62
50,50,143.72
51,49,143.82
52,48,135.14
53,47,138.04
54,46,137.84
55,45,148.92
56,44,151.66
57,43,152.74
58,42,148.76
59,41,151.52
60,40,152.94
61,39,146.72
62,38,147.08
63,37,150.64
64,36,151.06
65,35,151.58
66,34,151.12
67,33,150.60
68,32,151.34
69,31,147.46
70,30,149.18
71,29,151.56
72,28,150.06
73,27,142.74
74,26,151.10
75,25,148.48
76,24,151.36
77,23,145.56
78,22,148.90
79,21,150.32
80,20,152.32
81,19,150.62
82,18,147.20
83,17,151.36
84,16,150.46
85,15,138.62
86,14,144.00
87,13,150.58
88,12,151.24
89,11,147.22
90,10,148.00
91,9,151.12
92,8,152.94
93,7,147.64
94,6,149.04
95,5,150.26
96,4,152.86
97,3,152.18
98,2,152.38
99,1,152.16
100,0,152.30
